Team1,Team2,Winner,Margin,Ground,Date,Link
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,"Feb 18, 2022",https://stats.espncricinfo.com/ci/engine/match/1299568.html
India,West Indies,India,8 runs,Eden Gardens,"Feb 18, 2022",https://stats.espncricinfo.com/ci/engine/match/1278680.html
Nepal,Philippines,Nepal,136 runs,Al Amerat,"Feb 19, 2022",https://stats.espncricinfo.com/ci/engine/match/1299571.html
Oman,Canada,Oman,9 wickets,Al Amerat,"Feb 19, 2022",https://stats.espncricinfo.com/ci/engine/match/1299570.html
Bahrain,Ireland,Ireland,21 runs,Al Amerat,"Feb 19, 2022",https://stats.espncricinfo.com/ci/engine/match/1299573.html
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,"Feb 19, 2022",https://stats.espncricinfo.com/ci/engine/match/1299572.html
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,"Feb 20, 2022",https://stats.espncricinfo.com/ci/engine/match/1263475.html
India,West Indies,India,17 runs,Eden Gardens,"Feb 20, 2022",https://stats.espncricinfo.com/ci/engine/match/1278681.html
Bahrain,U.A.E.,Bahrain,2 runs,Al Amerat,"Feb 21, 2022",https://stats.espncricinfo.com/ci/engine/match/1299575.html
Germany,Ireland,Ireland,7 wickets,Al Amerat,"Feb 21, 2022",https://stats.espncricinfo.com/ci/engine/match/1299574.html
Canada,Nepal,Nepal,8 wickets,Al Amerat,"Feb 21, 2022",https://stats.espncricinfo.com/ci/engine/match/1299576.html
Oman,Philippines,Oman,9 wickets,Al Amerat,"Feb 21, 2022",https://stats.espncricinfo.com/ci/engine/match/1299577.html
Bahrain,Philippines,Bahrain,91 runs,Al Amerat,"Feb 22, 2022",https://stats.espncricinfo.com/ci/engine/match/1299579.html
Canada,Germany,Canada,6 wickets,Al Amerat,"Feb 22, 2022",https://stats.espncricinfo.com/ci/engine/match/1299578.html
Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,"Feb 22, 2022",https://stats.espncricinfo.com/ci/engine/match/1299580.html
Oman,Ireland,Ireland,56 runs,Al Amerat,"Feb 22, 2022",https://stats.espncricinfo.com/ci/engine/match/1299581.html
Bahrain,Canada,Canada,7 wickets,Al Amerat,"Feb 24, 2022",https://stats.espncricinfo.com/ci/engine/match/1299582.html
Germany,Philippines,Germany,9 wickets,Al Amerat,"Feb 24, 2022",https://stats.espncricinfo.com/ci/engine/match/1299583.html
Ireland,U.A.E.,U.A.E.,7 wickets,Al Amerat,"Feb 24, 2022",https://stats.espncricinfo.com/ci/engine/match/1299585.html
Oman,Nepal,Nepal,9 wickets,Al Amerat,"Feb 24, 2022",https://stats.espncricinfo.com/ci/engine/match/1299584.html
India,Sri Lanka,India,62 runs,Lucknow,"Feb 24, 2022",https://stats.espncricinfo.com/ci/engine/match/1278684.html
India,Sri Lanka,India,7 wickets,Dharamsala,"Feb 26, 2022",https://stats.espncricinfo.com/ci/engine/match/1278685.html
India,Sri Lanka,India,6 wickets,Dharamsala,"Feb 27, 2022",https://stats.espncricinfo.com/ci/engine/match/1278686.html
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,"Mar 3, 2022",https://stats.espncricinfo.com/ci/engine/match/1299832.html
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,"Mar 5, 2022",https://stats.espncricinfo.com/ci/engine/match/1299833.html
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,"Mar 28, 2022",https://stats.espncricinfo.com/ci/engine/match/1305498.html
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,"Mar 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1305499.html
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Mar 30, 2022",https://stats.espncricinfo.com/ci/engine/match/1305500.html
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,"Mar 31, 2022",https://stats.espncricinfo.com/ci/engine/match/1305501.html
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,"Apr 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1305502.html
Nepal,Malaysia,Nepal,85 runs,Kirtipur,"Apr 2, 2022",https://stats.espncricinfo.com/ci/engine/match/1305503.html
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,"Apr 4, 2022",https://stats.espncricinfo.com/ci/engine/match/1305504.html
Pakistan,Australia,Australia,3 wickets,Lahore,"Apr 5, 2022",https://stats.espncricinfo.com/ci/engine/match/1288316.html
Namibia,Uganda,Namibia,8 wickets,Windhoek,"Apr 8, 2022",https://stats.espncricinfo.com/ci/engine/match/1309701.html
Namibia,Uganda,Uganda,7 wickets,Windhoek,"Apr 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1309702.html
Namibia,Uganda,Namibia,52 runs,Windhoek,"Apr 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1309703.html
Cayman Is,Bahamas,Cayman Is,8 wickets,George Town,"Apr 13, 2022",https://stats.espncricinfo.com/ci/engine/match/1310156.html
Cayman Is,Bahamas,Cayman Is,15 runs,George Town,"Apr 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1310157.html
Cayman Is,Bahamas,Cayman Is,7 wickets,George Town,"Apr 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1310158.html
Cayman Is,Bahamas,Cayman Is,65 runs,George Town,"Apr 16, 2022",https://stats.espncricinfo.com/ci/engine/match/1310159.html
Cayman Is,Bahamas,Cayman Is,42 runs,George Town,"Apr 17, 2022",https://stats.espncricinfo.com/ci/engine/match/1310160.html
Guernsey,Norway,Norway,37 runs,Almeria,"Apr 29, 2022",https://stats.espncricinfo.com/ci/engine/match/1310161.html
Spain,Norway,Spain,51 runs,Almeria,"Apr 30, 2022",https://stats.espncricinfo.com/ci/engine/match/1310162.html
Guernsey,Norway,Guernsey,8 wickets,Almeria,"Apr 30, 2022",https://stats.espncricinfo.com/ci/engine/match/1310163.html
Spain,Guernsey,Spain,8 wickets,Almeria,"Apr 30, 2022",https://stats.espncricinfo.com/ci/engine/match/1310164.html
Spain,Guernsey,Guernsey,8 wickets,Almeria,"May 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1310165.html
Spain,Norway,Spain,41 runs,Almeria,"May 1, 2022",https://stats.espncricinfo.com/ci/engine/match/1310166.html
Denmark,Finland,Finland,3 wickets,Brondby,"May 7, 2022",https://stats.espncricinfo.com/ci/engine/match/1310167.html
Denmark,Finland,Denmark,137 runs,Brondby,"May 7, 2022",https://stats.espncricinfo.com/ci/engine/match/1310168.html
Denmark,Finland,Denmark,53 runs,Brondby,"May 8, 2022",https://stats.espncricinfo.com/ci/engine/match/1310169.html
Malta,Gibraltar,Malta,5 wickets,Marsa,"May 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1310170.html
Malta,Hungary,Malta,45 runs,Marsa,"May 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1310171.html
Gibraltar,Hungary,Hungary,4 wickets,Marsa,"May 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1310172.html
Malta,Romania,Malta,5 wickets,Marsa,"May 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1310173.html
Czech Rep.,Gibraltar,Czech Rep.,40 runs,Marsa,"May 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1310174.html
Bulgaria,Hungary,Hungary,5 runs,Marsa,"May 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1310175.html
Malta,Czech Rep.,Malta,2 runs,Marsa,"May 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1310176.html
Bulgaria,Czech Rep.,Czech Rep.,88 runs,Marsa,"May 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1310177.html
